"year","agency","name_of_not_for_profit"
"2019","Borough President - Queens","Chinese Immigrant Service Agencies Network International 40th Anniversary Conference"
"2019","Borough President - Queens","The Chian Federation 40th Homeric Award Gala"
"2019","Borough President - Queens","QWL Employee Recognition Ceremony"
"2019","Borough President - Queens","Asian American/Asian Research Institute of the City University of New York 18th Annual Fundraising Gala"
"2019","Borough President - Queens","New Life Covenant Fellowship Decennium Awards Gala"
"2019","Borough President - Queens","Korean Community Services of Metropolitan New York 46th Anniversary Gala"
"2019","Borough President - Queens","United Jewish Appeal - Federation of New York Annual Wall Street Dinner"
"2019","Borough President - Queens","Wagner College Holocaust Center 3rd Annual Commemoration of Egon J. Salmon and Family Kristallnacht and the S.S. St. Louis"
"2019","Borough President - Queens","Rohan Levy Foundation Inaugural Fundraising Gala"
"2019","Borough President - Queens","Muslim Officers Society 11th Annual Scholarship Dinner"
"2019","Borough President - Queens","Make the Road New York 2019 Dignity, Community, and Power Awards Gala"
"2019","Borough President - Queens","MinKwon 35th Anniversary Gala"
"2019","Borough President - Queens","Alliance of South Asian Labor 12th Annual Convention"
"2019","Borough President - Queens","Guardians of the Sick/Bikur Cholim Chesed Organization 67th Annual Awards Dinner"
"2019","Borough President - Queens","New Baptist Zion Church Pastor Retirement"
"2019","Borough President - Queens","World Federation of Chinese Catering Industry International Alliance of Women Entrepreneurs Inauguration Ceremony"
"2019","Borough President - Queens","Bangladesh Society Victory Day 2019 Celebration"
"2019","Borough President - Queens","New York Urban League 16th Anniversary Champions of Diversity Breakfast"
"2019","Borough President - Queens","Publicolor Annual Stir Splatter + Roll Gala"
"2019","Borough President - Queens","New York Building Congress 98th Anniversary Leadership Awards Luncheon"
"2019","Borough President - Queens","LSA Family Health Service Spirit of East Harlem Gala"
"2019","Borough President - Queens","Reach Out and Read of Greater New York Annual Benefit"
"2019","Borough President - Queens","West Side Community Garden 2019 Spring Benefit Garden Party"
"2019","Borough President - Queens","Project FIND's 50th Anniversary Gala"
"2019","Borough President - Queens","Ceres 30th Anniversary Gala"
"2019","Borough President - Queens","New York Building Congress 2019 Industry Recognition Gala"
"2019","Borough President - Staten Island","No organizations to report"
"2019","Buildings (Department of)","No organizations to report"
"2019","Business Integrity Commission","No organizations to report"
"2019","Campaign Finance Board","No organizations to report"
"2019","Chief Medical Examiner (Office of)","No organizations to report"
"2019","Citywide Administrative Services (Department of)","New York Blood Center"
"2019","Civil Service Commission","No organizations to report"
"2019","Collective Bargaining (Office of)","No organizations to report"
"2019","Conflicts of Interest Board","No organizations to report"
"2019","Consumer and Worker Protection (Department of)","Brandworkers"
"2019","Correction (Department of)","No organizations to report"
"2019","Cultural Affairs (Department of)","Friends of Materials for the Arts"
"2019","District Attorney- Bronx County","No organizations to report"
"2019","District Attorney - New York County","No organizations to report"
