"year","agency","name_of_not_for_profit"
"2023","Youth and Community Development (Department of)","Roads to Success, Inc"
"2023","Youth and Community Development (Department of)","Samuel Field YM & YWHA, Inc."
"2023","Youth and Community Development (Department of)","SCAN-HARBOR INC"
"2023","Youth and Community Development (Department of)","School Settlement Association"
"2023","Youth and Community Development (Department of)","SCO Family of Services"
"2023","Youth and Community Development (Department of)","Shorefront YM-YWHA of Brighton-Manhattan Beach, Inc"
"2023","Youth and Community Development (Department of)","Simpson Street Development Association Inc"
"2023","Youth and Community Development (Department of)","South Bronx Overall Economic Development Corporation"
"2023","Youth and Community Development (Department of)","Southern Queens Park Association,Inc."
"2023","Youth and Community Development (Department of)","Stanley M Isaacs Neighborhood Center Inc"
"2023","Youth and Community Development (Department of)","Sunnyside Community Services Inc"
"2023","Youth and Community Development (Department of)","Team First, Inc."
"2023","Youth and Community Development (Department of)","The Child Center of NY Inc"
"2023","Youth and Community Development (Department of)","The Children's Aid Society"
"2023","Youth and Community Development (Department of)","The Crenulated Company LTD"
"2023","Youth and Community Development (Department of)","The Educational Alliance, Inc."
"2023","Youth and Community Development (Department of)","The Greater Ridgewood Youth Council, Inc."
"2023","Youth and Community Development (Department of)","The Lower Eastside Girls Club of New York Inc"
"2023","Youth and Community Development (Department of)","The Noel Pointer Foundation Inc."
"2023","Youth and Community Development (Department of)","The Young Women's Christian Association of the City of NY"
"2023","Youth and Community Development (Department of)","Union Settlement Association Inc"
"2023","Youth and Community Development (Department of)","United Activities Unlimited, Inc."
"2023","Youth and Community Development (Department of)","University Settlement Society of New York"
"2023","Youth and Community Development (Department of)","Urban Strategies, Inc."
"2023","Youth and Community Development (Department of)","Women's Housing and Economic Development Corporation (WHEDCO"
"2023","Youth and Community Development (Department of)","Xposure Foundation Inc."
"2023","Youth and Community Development (Department of)","Yeshivath Kehilath Yakov, Inc."
"2023","Youth and Community Development (Department of)","YMCA of Greater New York - Virtual Y"
"2023","Youth and Community Development (Department of)","YMCA of Greater New York/Corporate"
"2023","Youth and Community Development (Department of)","YMCA of Greater New York/Corporate"
"2023","Youth and Community Development (Department of)","YM-YWHA of Washington Heights Inwood"
"2023","Youth and Community Development (Department of)","Young Dancers In Repertory, Inc."
"2024","Actuary (Office of)","No organizations to report"
"2024","Administration for Children's Services","Adoptive and Foster Family Coalition of New York (AFFCNY)"
"2024","Administration for Children's Services","America Works of New York, Inc."
"2024","Administration for Children's Services","American Immigration Council"
"2024","Administration for Children's Services","Anthos|Home"
"2024","Administration for Children's Services","Association to Benefit Children"
"2024","Administration for Children's Services","Bronx Works"
"2024","Administration for Children's Services","Catholic Guardian Services"
"2024","Administration for Children's Services","Center for Justice Innovation"
"2024","Administration for Children's Services","Children's Aid Society"
"2024","Administration for Children's Services","Coalition for Hispanic Family Services"
"2024","Administration for Children's Services","Columbia University and the New York State Psychiatric Institute"
"2024","Administration for Children's Services","Day Care Council of New York (DCCNY)"
"2024","Administration for Children's Services","Getting Out Staying Out"
"2024","Administration for Children's Services","Good Shepherd Services"
"2024","Administration for Children's Services","Harlem Dowling"
"2024","Administration for Children's Services","MAN UP"
"2024","Administration for Children's Services","MercyFirst"
"2024","Administration for Children's Services","Mount Sinai"
"2024","Administration for Children's Services","New York Council on Adoptable Children (COAC)"
"2024","Administration for Children's Services","New York Foundling"
"2024","Administration for Children's Services","New York Society for the Prevention of Cruelty to Children"
"2024","Administration for Children's Services","New York University"
"2024","Administration for Children's Services","NYC Child Care Resource Center Consortium"
"2024","Administration for Children's Services","NYU Langone"
"2024","Administration for Children's Services","Queens Community Justice Center"
"2024","Administration for Children's Services","Rising Ground"
"2024","Administration for Children's Services","Sanctuary for Families"
"2024","Administration for Children's Services","SCO Family Services"
"2024","Administration for Children's Services","Silberman School of Social Work at Hunter College"
"2024","Administration for Children's Services","St. John's Residence for Boys"
"2024","Administration for Children's Services","The Center"
"2024","Administration for Children's Services","The Children's Village"
"2024","Administration for Children's Services","The Door"
"2024","Administrative Tax Appeals (Office of)","No organizations to report"
"2024","Administrative Trials and Hearings (Office of)","No organizations to report"
"2024","Aging (Department for the)","The Mayor's Fund to Advance New York City"
"2024","Board of Correction","No organizations to report"
"2024","Board of Education Retirement System","No organizations to report"
"2024","Board of Elections","No organizations to report"
"2024","Board of Standards and Appeals","No organizations to report"
"2024","Borough President - Bronx","The Bronx Overall Economic Development Corporation (BXEDC)"
"2024","Borough President - Brooklyn","Public Health Solutions"
"2024","Borough President - Brooklyn","UA3"
"2024","Borough President - Brooklyn","Agape Food Rescue"
"2024","Borough President - Manhattan","Greater NY Chapter of The Links"
"2024","Borough President - Manhattan","Joyce Theatre"
"2024","Borough President - Manhattan","CUNY School of Professional Studies"
"2024","Borough President - Manhattan","Hunter CUNY Institute for Sustainable Cities"
"2024","Borough President - Manhattan","Touro University"
"2024","Borough President - Manhattan","Congregation Beit Simchat Torah"
"2024","Borough President - Manhattan","Caribbean Cultural Center African Diaspora Institute"
"2024","Borough President - Manhattan","Stuyvesant HS Parents Association"
"2024","Borough President - Manhattan","Silicon Harlem / C-Better Foundation"
"2024","Borough President - Manhattan","Harlem Stage"
"2024","Borough President - Manhattan","Met Opera"
"2024","Borough President - Manhattan","Vote 16"
"2024","Borough President - Manhattan","Jazz Gallery"
"2024","Borough President - Manhattan","CUNY Graduate Center Advanced Science Research Center"
"2024","Borough President - Manhattan","Catholic Charities"
"2024","Borough President - Manhattan","Ballet Hispánico"
"2024","Borough President - Manhattan","Good News"
"2024","Borough President - Manhattan","National Organization of Italian American Women"
"2024","Borough President - Manhattan","Billion Oyster Project / Hudson Reef"
"2024","Borough President - Manhattan","Chinese-American Planning Council"
"2024","Borough President - Manhattan","Justice Ambassadors Youth Council"
"2024","Borough President - Manhattan","Jericho Project"
"2024","Borough President - Manhattan","Fresh Youth Iniatives"
"2024","Borough President - Manhattan","Morris-Jumel Mansion"
"2024","Borough President - Manhattan","Swedish Cottage Marrionnette Theater"
"2024","Borough President - Manhattan","Afro Latin Jazz Alliance"
"2024","Borough President - Manhattan","CUNY Hunter"
"2024","Borough President - Manhattan","Brotherhood Sister Sol"
"2024","Borough President - Manhattan","New Dramatists"
"2024","Borough President - Manhattan","Ice Theatre of New York"
"2024","Borough President - Manhattan","WARM (We All Really Matter)"
"2024","Borough President - Manhattan","Citymeals on Wheels"
"2024","Borough President - Manhattan","NYC Multicultural Festival"
"2024","Borough President - Manhattan","Manhattan School of Music"
"2024","Borough President - Manhattan","Cayuga Centers"
"2024","Borough President - Manhattan","Jewish Children's Museum"
"2024","Borough President - Manhattan","Stuyvesant High School Alumni Association"
"2024","Borough President - Manhattan","Harlem Congregations for Community Improvement"
"2024","Borough President - Manhattan","Women in Tourism Awards"
"2024","Borough President - Manhattan","Jewish Community Council of Greater Coney Island (JCCGCI)"
"2024","Borough President - Manhattan","Central Park Conservancy"
"2024","Borough President - Manhattan","Albany Law School"
"2024","Borough President - Manhattan","United Palace"
"2024","Borough President - Manhattan","Northern Manhattan Improvement Corporation (NMIC)"
"2024","Borough President - Manhattan","Northside Center for Childhood Development"
"2024","Borough President - Manhattan","West Prep Academy"
"2024","Borough President - Manhattan","Washington Heights Dance Project"
"2024","Borough President - Manhattan","Building for the Arts"
"2024","Borough President - Manhattan","NYC Tourism"
"2024","Borough President - Manhattan","NY Public Health Laboratory"
"2024","Borough President - Manhattan","Tenement Museum"
"2024","Borough President - Manhattan","A. Philip Randolph Square Neighbor Alliance"
"2024","Borough President - Manhattan","City Parks Foundation"
"2024","Borough President - Manhattan","Breaking Ground"
"2024","Borough President - Manhattan","Workers Unite Film Festival"
"2024","Borough President - Manhattan","VNS Health"
"2024","Borough President - Manhattan","Harlem Kappa Kastle Foundation"
"2024","Borough President - Manhattan","Actors Temple"
"2024","Borough President - Manhattan","Hamilton-Madison House"
"2024","Borough President - Manhattan","NAACP Mid-Manhattan Branch"
"2024","Borough President - Manhattan","Chelsea Film Festival"
"2024","Borough President - Manhattan","Asian Pacific American Advocates – NY chapter"
"2024","Borough President - Manhattan","Japanese American Social Services, Inc."
"2024","Borough President - Manhattan","Boriken"
"2024","Borough President - Manhattan","Urban Health Plan"
"2024","Borough President - Manhattan","Hellenic American Neighborhood Action Committee"
"2024","Borough President - Manhattan","Museum of Chinese in America"
"2024","Borough President - Manhattan","32BJ"
"2024","Borough President - Manhattan","Immigrant Social Services"
"2024","Borough President - Manhattan","Dominican Studies Institute/Dominican American Cultural Center"
"2024","Borough President - Manhattan","Carnegie House"
"2024","Borough President - Manhattan","PA'LANTE"
"2024","Borough President - Manhattan","The Algemeiner"
"2024","Borough President - Manhattan","RAIN Home Attendant Services"
"2024","Borough President - Manhattan","CUNY Law CLRN City Counseling Program"
"2024","Borough President - Manhattan","BroSis Sol"
"2024","Borough President - Manhattan","Children's Museum of Manhattan"
"2024","Borough President - Manhattan","Korean American Association of Queens"
"2024","Borough President - Manhattan","Bank Street Head Start"
"2024","Borough President - Manhattan","Kiwanis Club for Community Care NYC"
"2024","Borough President - Manhattan","Joyce Theater"
"2024","Borough President - Manhattan","New 42 Studios"
"2024","Borough President - Manhattan","Governors Island Nolan Park Arts Campus Project"
"2024","Borough President - Manhattan","Manhattan Neighborhood Network"
"2024","Borough President - Manhattan","PAC NYC"
"2024","Borough President - Manhattan","LES Ecology Center"
"2024","Borough President - Manhattan","Winter Film Festival"
"2024","Borough President - Manhattan","East Harlem Council for Human Services"
"2024","Borough President - Queens","AIDS Center of Queens County"
"2024","Borough President - Queens","Allen Community Senior Services Center"
"2024","Borough President - Queens","Alphapointe"
"2024","Borough President - Queens","American Association for Bangladeshi Engineers and Architects"
"2024","Borough President - Queens","Amity Baptist Church"
"2024","Borough President - Queens","Arts for All"
"2024","Borough President - Queens","Asian American Federation of New York"
"2024","Borough President - Queens","Assoication of Indians in America (New York Chapter)"
"2024","Borough President - Queens","Bayside Saint Patrick's Day Parade Corporation"
"2024","Borough President - Queens","Braata Productions"
"2024","Borough President - Queens","Building Skills NY"
"2024","Borough President - Queens","Center for the Women of New York"
"2024","Borough President - Queens","Chian Federation"
"2024","Borough President - Queens","Child Center of NY"
"2024","Borough President - Queens","China AIDs Fund"
"2024","Borough President - Queens","Chinese American IPA, Inc."
"2024","Borough President - Queens","Chinese American Planning Council"
"2024","Borough President - Queens","Chocolate Factory Theater"
"2024","Borough President - Queens","Commonpoint Queens"
"2024","Borough President - Queens","Community Church of Astoria"
"2024","Borough President - Queens","Community Baptist Church of South Ozone Park"
"2024","Borough President - Queens","Council of School Supervisors and Administrators (CSA)"
"2024","Borough President - Queens","Deerfield Area Association"
"2024","Borough President - Queens","Educational and Cultural Trust Fund of the Electrical Industry"
"2024","Borough President - Queens","Federated Blocks of Laurelton"
"2024","Borough President - Queens","First Baptist Church"
"2024","Borough President - Queens","Flushing Chinese Business Association"
"2024","Borough President - Queens","Forest Hills Jewish Center"
"2024","Borough President - Queens","Galilee Baptist Church of Christ"
"2024","Borough President - Queens","Grace Episcopal Church"
"2024","Borough President - Queens","Haitian American Nurses Association"
"2024","Borough President - Queens","HANAC"
"2024","Borough President - Queens","Hillcrest Jewish Center"
"2024","Borough President - Queens","Holy Cross High School"
"2024","Borough President - Queens","Holy Martyrs Armenian Day School"
"2024","Borough President - Queens","International Association of Ministers' Wives & Ministers' Widows"
"2024","Borough President - Queens","Italian Charities of America"
"2024","Borough President - Queens","Jack and Jill of America (Queens Chapter)"
"2024","Borough President - Queens","Jacob A. Riis Neighborhood Settlement"
"2024","Borough President - Queens","Jamaica Bangladesh Association"
"2024","Borough President - Queens","Jewish Children's Museum"
"2024","Borough President - Queens","Jewish Community Relations Council of New York"
"2024","Borough President - Queens","Key Women of America (Concourse Village Branch)"
"2024","Borough President - Queens","King of Kings Foundation"
"2024","Borough President - Queens","Kiwanis International (Howard Beach)"
"2024","Borough President - Queens","Kiwanis International (LaGuardia Airport)"
"2024","Borough President - Queens","Korean American Lawyers Association of Greater New York"
"2024","Borough President - Queens","Korean Community Services of Metropolitan New York"
"2024","Borough President - Queens","Langston Hughes Community Library and Cultural Center"
"2024","Borough President - Queens","Latino Lawyers Association of Queens County"
"2024","Borough President - Queens","Laurelton Memorial Day Parade Committee"
"2024","Borough President - Queens","LGBT Network"
"2024","Borough President - Queens","LIFE Camp"
"2024","Borough President - Queens","Lions Club International (Brooklyn Beford Stuyvesant)"
"2024","Borough President - Queens","Lions Club International (District 20-K1)"
"2024","Borough President - Queens","Local 372, NYC Board of Education Employees"
"2024","Borough President - Queens","Local Union No. 3 IBEW"
"2024","Borough President - Queens","Make the Road New York"
"2024","Borough President - Queens","Medisys Health Network"
"2024","Borough President - Queens","Moulvibazar District Society of USA"
"2024","Borough President - Queens","Mount Moriah AME Church"
"2024","Borough President - Queens","Museum of the Moving Image"
"2024","Borough President - Queens","NAACP"
"2024","Borough President - Queens","National Action Network"
"2024","Borough President - Queens","National Association of Negro and Professional Women's Club (The Laurelton Club)"
"2024","Borough President - Queens","National Sorority of Phi Delta Kappa, Inc. (Beta Omicron Chapter)"
"2024","Borough President - Queens","Nepal American Film Society (Global Nepali Film Awards)"
"2024","Borough President - Queens","New American Voters Association"
"2024","Borough President - Queens","New York Building Congress"
"2024","Borough President - Queens","New York City Hospitality Alliance"
"2024","Borough President - Queens","New York Hall of Science"
"2024","Borough President - Queens","New York Immigration Coalition"
"2024","Borough President - Queens","New York Irish Center"
"2024","Borough President - Queens","Positive Women United"
"2024","Borough President - Queens","Public Safety Patrol NYC"
"2024","Borough President - Queens","Pursuit"
"2024","Borough President - Queens","Queens & Bronx Building Association"
"2024","Borough President - Queens","Queens Chamber of Commerce"
"2024","Borough President - Queens","Queens Civic Congress"
"2024","Borough President - Queens","Queens County Bar Association"
"2024","Borough President - Queens","Queens Economic Development Corporation"
"2024","Borough President - Queens","Queens Museum"
"2024","Borough President - Queens","Queens Theatre"
"2024","Borough President - Queens","Reach Out & Read of Greater New York"
"2024","Borough President - Queens","River Fund, Inc."
"2024","Borough President - Queens","Rockaway Development & Revitalization Corporation"
"2024","Borough President - Queens","Services for the UnderServed"
"2024","Borough President - Queens","SOMOS Community Care"
"2024","Borough President - Queens","St. Albans Congregational Church"
"2024","Borough President - Queens","St. Clare Church"
"2024","Borough President - Queens","Sunnyside Community Services"
"2024","Borough President - Queens","Taiwan Pingtung Association of America"
"2024","Borough President - Queens","Teens for Food Justice"
"2024","Borough President - Queens","The Episcopal Church of Grace and Resurrection"
"2024","Borough President - Queens","The Links (Greater Queens Chapter)"
"2024","Borough President - Queens","Transportation Alternatives"
"2024","Borough President - Queens","United Federation of Teachers"
"2024","Borough President - Queens","Urban Health Plan"
"2024","Borough President - Queens","Urban Justice Center (Street Vendor Project)"
"2024","Borough President - Queens","Urban Upbound"
"2024","Borough President - Queens","VNS Health"
"2024","Borough President - Queens","Volunteers for Springfield Park"
"2024","Borough President - Queens","Women's League for Conservative Judaism (BQLI Region)"
"2024","Borough President - Queens","Women's Industrial Service League"
"2024","Borough President - Queens","Zeta Phi Beta Sorority"
"2024","Borough President - Staten Island","No organizations to report"
"2024","Buildings (Department of)","No organizations to report"
"2024","Business Integrity Commission","No organizations to report"
"2024","Campaign Finance Board","No organizations to report"
"2024","Chief Medical Examiner (Office of)","No organizations to report"
"2024","City Clerk (Office of)","No organizations to report"
"2024","City Council","No organizations to report"
"2024","City Council District 1","No organizations to report"
"2024","City Council District 12","No organizations to report"
"2024","City Council District 14","No organizations to report"
"2024","City Council District 15","No organizations to report"
"2024","City Council District 18","No organizations to report"
"2024","City Council District 19","No organizations to report"
"2024","City Council District 2","Bellevue Hospital"
"2024","City Council District 20","Glow Cultural Center, Inc."
"2024","City Council District 20","NYC Kids Rise"
"2024","City Council District 21","No organizations to report"
"2024","City Council District 22","No organizations to report"
"2024","City Council District 23","No organizations to report"
"2024","City Council District 24","No organizations to report"
"2024","City Council District 25","No organizations to report"
"2024","City Council District 26","No organizations to report"
"2024","City Council District 28","No organizations to report"
"2024","City Council District 29","No organizations to report"
"2024","City Council District 31","VFW Post 1790"
"2024","City Council District 31","Real Veggie Foundation"
"2024","City Council District 31","Urban Upbound"
"2024","City Council District 31","Community Health & Economic Corporation"
"2024","City Council District 32","No organizations to report"
"2024","City Council District 35","Kings Against Violence Initiative, Inc."
"2024","City Council District 35","Kings County Tennis League"
"2024","City Council District 35","Museum of Contemporary African Diasporan Arts"
"2024","City Council District 36","No organizations to report"
"2024","City Council District 38","No organizations to report"
"2024","City Council District 39","Fifth Avenue Committee"
"2024","City Council District 39","Mural Justice Project"
"2024","City Council District 46","No organizations to report"
"2024","City Council District 47","No organizations to report"
"2024","City Council District 49","No organizations to report"
"2024","City Council District 5","Museum of Jewish Heritage"
"2024","City Council District 50","No organizations to report"
"2024","City Council District 6","No organizations to report"
"2024","City Council District 7","Hispanic Federation"
"2024","City Council District 7","Bronx Spreading Love"
"2024","City Council District 8","No organizations to report"
"2024","City Council District 9","No organizations to report"
"2024","City Planning (Department of)","No organizations to report"
"2024","Citywide Administrative Services (Department of)","New York Blood Center"
"2024","Civic Engagement Commission","No organizations to report"
"2024","Civil Service Commission","No organizations to report"
"2024","Civilian Complaint Review Board","No organizations to report"
"2024","Collective Bargaining (Office of)","No organizations to report"
"2024","Comptroller","Ford Foundation"
"2024","Comptroller","Scherman Foundation"
"2024","Comptroller","Trinity Wall Street"
"2024","Comptroller","Open Society Foundation"
"2024","Comptroller","Gray Foundation"
"2024","Comptroller","Walton Foundation"
"2024","Conflicts of Interest Board","No organizations to report"
"2024","Consumer and Worker Protection (Department of)","No organizations to report"
"2024","Correction (Department of)","No organizations to report"
"2024","Cultural Affairs (Department of)","Friends of Materials for the Arts"
"2024","Design and Construction (Department of)","No organizations to report"
"2024","District Attorney - Bronx Co","Destination Tomorrow"
"2024","District Attorney - Kings Co","No organizations to report"
"2024","District Attorney - New York Co","Gleason’s Give A Kid A Dream"
"2024","District Attorney - New York Co","Semper Fi & America's Fund"
"2024","District Attorney - New York Co","Fisher House Foundation"
"2024","District Attorney - Queens Co","Marine Corps Reserve Toys For Tots"
"2024","District Attorney - Richmond Co","No organizations to report"
"2024","Economic Development Corporation","No organizations to report"
"2024","Education (Department of)","Fund for Public Schools"
"2024","Education (Department of)","NYC Kids RISE"
"2024","Emergency Management (Office of)","No organizations to report"
"2024","Employees' Retirement System","No organizations to report"
"2024","Environmental Protection (Department of)","No organizations to report"
"2024","Equal Employment Practices Commission","No organizations to report"
"2024","Finance (Department of)","No organizations to report"
"2024","Financial Information Services Agency / Office of Payroll Administration","No organizations to report"
"2024","Fire Department","FDNY Foundation"
"2024","Fire Pension Fund","No organizations to report"
"2024","Franchise Concession Review Committee","No organizations to report"
"2024","Health and Hospitals Corporation","No organizations to report"
"2024","Health and Mental Hygiene (Department of)","Fund for Public Health NYC"
"2024","Housing Authority","No organizations to report"
"2024","Housing Development Corporation","No organizations to report"
"2024","Housing Preservation and Development (Department of)","The Brooklyn Public Library"
"2024","Housing Preservation and Development (Department of)","The Queens Borough Public Library"
"2024","Housing Preservation and Development (Department of)","The New York Public Library, Astor, Lenox and Tilden Foundations"
"2024","Human Rights Commission","No organizations to report"
"2024","Independent Budget Office","No organizations to report"
"2024","Information Technology and Telecommunications (Department of)","No organizations to report"
"2024","Investigation (Department of)","No organizations to report"
"2024","Labor Relations (Office of)","No organizations to report"
"2024","Landmarks Preservation Commission","Fund for the City of New York; Archeology Project"
"2024","Law Department","No organizations to report"
"2024","Management and Budget (Office of)","No organizations to report"
"2024","Mayor’s Office of Criminal Justice","No organizations to report"
"2024","Mayor's Office","American Red Cross"
"2024","Mayor's Office","Mayor’s Fund to Advance the City of New York"
"2024","Mayor's Office of Contract Services","No organizations to report"
"2024","Mayor's Office of Media and Entertainment","No organizations to report"
"2024","Parks and Recreation (Department of)","City Parks Foundation"
"2024","Police Department","Alfred E. Smith Memorial Foundation"
"2024","Police Department","Beauty Against Cancer"
"2024","Police Department","Blue Lives Matters NYC"
"2024","Police Department","Community-Police Relations Foundation"
"2024","Police Department","Emblem Health"
"2024","Police Department","First Responders Children's Foundation"
"2024","Police Department","John Thiessen Children's Foundation"
"2024","Police Department","Make-A-Wish-Foundation"
"2024","Police Department","Municipal Credit Union"
"2024","Police Department","National Association of Black Law Enforcement Executives"
"2024","Police Department","New 42nd Street"
"2024","Police Department","New York City Police Foundation"
"2024","Police Department","New York Law Enforcement Foundation"
"2024","Police Department","New York League of Puerto Rican Women, Inc."
"2024","Police Department","New York Police and Fire Widows' and Children's Benefit Fund"
"2024","Police Department","Police and Fire Line of Duty Widows of New York City, Inc."
"2024","Police Department","Police Athletic League, Inc."
"2024","Police Department","Police Benevolent Association of the City of New York, Inc."
"2024","Police Department","Police Relief Fund"
"2024","Police Department","Ronald McDonald House New York"
"2024","Police Department","Silver Shield Foundation"
"2024","Police Department","Staten Island Chamber of Commerce"
"2024","Police Department","The American Academy for Professional Law Enforcement New York City, Inc."
"2024","Police Department","The Centurian Foundation, Inc."
"2024","Police Department","The Detective Rafael Ramos Foundation"
"2024","Police Department","Toys for Tots"
"2024","Police Department","Tunnels to Tower Foundation"
"2024","Police Department","West Harlem Development Corp"
"2024","Police Pension Fund","No organizations to report"
"2024","Probation (Department of)","No organizations to report"
"2024","Procurement Policy Board","No organizations to report"
"2024","Public Advocate","No organizations to report"
"2024","Public Design Commission","No organizations to report"
"2024","Public Housing Preservation Trust","No organizations to report"
"2024","Records (Department of)","No organizations to report"
"2024","Rent Guidelines Board","No organizations to report"
"2024","Sanitation (Department of)","No organizations to report"
"2024","School Construction Authority","No organizations to report"
"2024","Small Business Services (Department of)","No organizations to report"
"2024","Social Services (Department of)","Anthos HOME"
"2024","Special Commissioner of Investigation","No organizations to report"
"2024","Taxi and Limousine Commission","Gracie Mansion Conservancy"
"2024","Teachers' Retirement System","No organizations to report"
"2024","Transportation (Department of)","No organizations to report"
"2024","Veteran's Services (Department of)","New York Cares"
"2024","Water Board","No organizations to report"
"2024","Youth and Community Development (Department of)","No organizations to report"
